SEP=,
item.palamod.paladium_mixed_coal,Paladium Mixed Coal,Paladium Mixed Coal
item.palamod.paladium_bow,Paladium Bow,Paladium Bow
item.palamod.music_fuze.desc,On m'appel Fuze III,On m'appel Fuze III
entity.palamod.palabot,Palabot,Palabot
biome.palamod.jacaranda,Jacaranda,Jacaranda
block.palamod.titane_block,Titane Block,Titane Block
item.palamod.paladium_ingot,Paladium Ingot,Paladium Ingot
block.palamod.fake_water,Eau factice,Fake Water
item.palamod.heal_orb,Heal Orb,Heal Orb
item.palamod.paladium_trim_8_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.endium_pickaxe,Endium Pioche,Endium Pickaxe
block.palamod.custom_cyan_wool,Custom Cyan Wool,Custom Cyan Wool
item.palamod.september_ticket,September Ticket,September Ticket
gui.palamod.paladium_book_gui.label_identical_reproduction,"identical reproduction,","identical reproduction,"
item.palamod.titane_seedplanter,Titane Seedplanter,Titane Seedplanter
item.palamod.titane_hoe,Titane Houe,Titane Hoe
gui.palamod.back_pack.label_backpack,BackPack,BackPack
item.minecraft.splash_potion.effect.corrupted_potion,Splash Potion of Corruption,Splash Potion of Corruption
item.palamod.candy_rainbow,Candy Rainbow,Candy Rainbow
item.palamod.roller_boots,Roller,Roller
item.palamod.blue_unclaim_finder,Blue Unclaim Finder,Blue Unclaim Finder
block.palamod.birch_water_sappling,Birch Water Sappling,Birch Water Sappling
item.palamod.corrupted,CORRUPTED CHRONO,CORRUPTED CHRONO
item.palamod.corrupted_imune_potion,Corrupted Imune Potion,Corrupted Imune Potion
item.palamod.candy_yellow,Candy Yellow,Candy Yellow
block.palamod.ostrya_pressure_plate,Ostrya Pressure Plate,Ostrya Pressure Plate
item.palamod.endium_big_ring,Endium Big Ring,Endium Big Ring
block.palamod.endium_cave_block,Endium Cave Block,Endium Cave Block
biome.palamod.ostrya,Ostrya,Ostrya
item.palamod.paladium_trim_3_boots.description_0,Eye Armor Trim,Eye Armor Trim
item.palamod.roulette_pala,Musik Disc,Musik Disc
subtitles.christmas_music,Christmas Music - Mariah Carey,Christmas Music - Mariah Carey
item.palamod.paladium_hat_helmet.description_0,The super Paladium Lucky Hat !!!,The super Paladium Lucky Hat !!!
item.palamod.endium_sword,Endium Sword,Endium Sword
item.palamod.christmas_axe.description_0,Ho Ho Ho Marry Christmas,Ho Ho Ho Marry Christmas
item.palamod.paladium_trim_8_chestplate.description_0,Ward Armor Trim,Ward Armor Trim
block.palamod.erable_fence,Erable Fence,Erable Fence
fluid_type.palamod.fake_water,Eau factice,Fake Water
fluid_type.palamod.angelic_water,Angelic Water,Angelic Water
item.palamod.switch_arrow,Switch Arrow,Switch Arrow
block.palamod.big_tnt,Big TNT,Big TNT
block.palamod.endium_tnt,Endium TNT,Endium TNT
block.palamod.effect_tnt,Effect TNT,Effect TNT
block.palamod.wither_tnt,Wither TNT,Wither TNT
item.palamod.raw_green_paladium,Raw Green Paladium,Raw Green Paladium
item.palamod.raw_paladium,Raw Paladium,Raw Paladium
item.palamod.raw_titane,Raw Titane,Raw Titane
item.palamod.raw_amethyst,Raw Améthyste,Raw Amethyst
block.palamod.raw_amethyst_block,Raw Améthyste Block,Raw Amethyst Block
block.palamod.raw_titane_block,Raw Titane Block,Raw Titane Block
block.palamod.raw_green_paladium_block,Raw Green Paladium Block,Raw Green Paladium Block
block.palamod.raw_paladium_block,Raw Paladium Block,Raw Paladium Block
item.palamod.faux.description_0,Who will be your victim?,Who will be your victim?
item.palamod.faux,Faux,Faux
item.palamod.ancient_leggings,Jambières de §6Ancient,§6Ancient Leggings
item.palamod.ancient_boots,§6Ancient Boots,§6Ancient Boots
item.palamod.ancient_helmet,Casque d'§6Ancient,§6Ancient Helmet
item.palamod.ancient_chestplate,Plastron d'§6Ancient,§6Ancient Chestplate
item.palamod.advanced_ancient_helmet.description_0,Combined with - LG FORTUNE,Combined with - LG FORTUNE
item.palamod.advanced_ancient_chestplate,Casque d'§6Advanced Ancient,§6Advanced Ancient Helmet
item.palamod.advanced_ancient_helmet,Casque d'§6Advanced Ancient,§6Advanced Ancient Helmet
item.palamod.advanced_ancient_leggings,Casque d'§6Advanced Ancient,§6Advanced Ancient Helmet
item.palamod.advanced_ancient_chestplate.description_0,Combined with - LG POWER,Combined with - LG POWER
item.palamod.advanced_ancient_boots.description_0,Combined with - LG SPEED,Combined with - LG SPEED
item.palamod.advanced_ancient_leggings.description_0,Combined with - LG CHAOS,Combined with - LG CHAOS
item.palamod.advanced_ancient_boots,§6Advanced Ancient Boots,§6Advanced Ancient Boots
block.palamod.amethyst_box,§5Améthyste Box,§5Amethyst Box
block.palamod.amethyst_box_opened,Améthyste Box Opened,Amethyst Box Opened
block.palamod.paladium_box,§cPaladium Box,§cPaladium Box
block.palamod.paladium_box_opened,Paladium Box Opened,Paladium Box Opened
item.palamod.paladium_key,§cPaladium Key,§cPaladium Key
item.palamod.paladium_key.description_0,Use to open - Paladium Box,Use to open - Paladium Box
item.palamod.amethyst_key,§5Améthyste Key,§5Amethyst Key
item.palamod.amethyst_key.description_0,Use to open - Améthyste Box,Use to open - Amethyst Box
item.palamod.invocker_stone,Invocker Stone,Invocker Stone
item.palamod.invoker_chestplate,Plastron d'Invoker,Invoker Chestplate
item.palamod.invoker_helmet,Casque d'Invoker,Invoker Helmet
item.palamod.invoker_boots,Invoker Boots,Invoker Boots
item.palamod.invoker_leggings,Jambières de Invoker,Invoker Leggings
item.palamod.manelios_boots,Manelios Boots,Manelios Boots
item.palamod.manelios_leggings,Jambières de Manelios,Manelios Leggings
item.palamod.manelios_helmet,Casque d'Manelios,Manelios Helmet
item.palamod.manelios_chestplate,Plastron d'Manelios,Manelios Chestplate
item.palamod.manelios_reinforced_helmet,Casque d'Manelios Reinforced,Manelios Reinforced Helmet
item.palamod.manelios_reinforced_chestplate,Plastron d'Manelios Reinforced,Manelios Reinforced Chestplate
item.palamod.manelios_reinforced_boots,Manelios Reinforced Boots,Manelios Reinforced Boots
item.palamod.manelios_reinforced_leggings,Jambières de Manelios Reinforced,Manelios Reinforced Leggings
item.palamod.manelios_legendary_helmet,Casque d'Manelios Legendary,Manelios Legendary Helmet
item.palamod.manelios_legendary_chestplate,Plastron d'Manelios Legendary,Manelios Legendary Chestplate
item.palamod.manelios_legendary_leggings,Manelios Legendary Leggins,Manelios Legendary Leggins
item.palamod.manelios_legendary_boots,Manelios Legendary Boots,Manelios Legendary Boots
item.palamod.nimbria_helmet,Casque d'Nimbria,Nimbria Helmet
item.palamod.nimbria_boots,Nimbria Boots,Nimbria Boots
item.palamod.nimbria_chestplate,Plastron d'Nimbria,Nimbria Chestplate
item.palamod.nimbria_leggings,Jambières de Nimbria,Nimbria Leggings
item.palamod.nimbria_reinforced_chestplate,Plastron d'Nimbria Reinforced,Nimbria Reinforced Chestplate
item.palamod.nimbria_reinforced_boots,Nimbria Reinforced Boots,Nimbria Reinforced Boots
item.palamod.nimbria_reinforced_leggings,Jambières de Nimbria Reinforced,Nimbria Reinforced Leggings
item.palamod.nimbria_reinforced_helmet,Casque d'Nimbria Reinforced,Nimbria Reinforced Helmet
item.palamod.nimbria_legendary_boots,Nimbria Legendary Boots,Nimbria Legendary Boots
item.palamod.nimbria_legendary_leggings,Jambières de Nimbria Legendary,Nimbria Legendary Leggings
item.palamod.nimbria_legendary_helmet,Casque d'Nimbria Legendary,Nimbria Legendary Helmet
item.palamod.nimbria_legendary_chestplate,Plastron d'Nimbria Legendary,Nimbria Legendary Chestplate
item.palamod.talikus_chestplate,Plastron d'Talikus,Talikus Chestplate
item.palamod.talikus_boots,Talikus Boots,Talikus Boots
item.palamod.talikus_helmet,Casque d'Talikus,Talikus Helmet
item.palamod.talikus_leggings,Jambières de Talikus,Talikus Leggings
item.palamod.talikus_reinforced_chestplate,Plastron d'Talikus Reinforced,Talikus Reinforced Chestplate
item.palamod.talikus_reinforced_leggings,Jambières de Talikus Reinforced,Talikus Reinforced Leggings
item.palamod.talikus_reinforced_helmet,Casque d'Talikus Reinforced,Talikus Reinforced Helmet
item.palamod.talikus_reinforced_boots,Talikus Reinforced Boots,Talikus Reinforced Boots
item.palamod.talikus_legendary_boots,Talikus Legendary Boots,Talikus Legendary Boots
item.palamod.talikus_legendary_helmet,Casque d'Talikus Legendary,Talikus Legendary Helmet
item.palamod.talikus_legendary_leggings,Jambières de Talikus Legendary,Talikus Legendary Leggings
item.palamod.talikus_legendary_chestplate,Plastron d'Talikus Legendary,Talikus Legendary Chestplate
item.palamod.vitalys_leggings,Jambières de Vitalys,Vitalys Leggings
item.palamod.vitalys_chestplate,Plastron d'Vitalys,Vitalys Chestplate
item.palamod.vitalys_helmet,Casque d'Vitalys,Vitalys Helmet
item.palamod.vitalys_boots,Vitalys Boots,Vitalys Boots
item.palamod.vitalys_reinforced_boots,Vitalys Reinforced Boots,Vitalys Reinforced Boots
item.palamod.vitalys_reinforced_helmet,Casque d'Vitalys Reinforced,Vitalys Reinforced Helmet
item.palamod.vitalys_reinforced_leggings,Jambières de Vitalys Reinforced,Vitalys Reinforced Leggings
item.palamod.vitalys_reinforced_chestplate,Plastron d'Vitalys Reinforced,Vitalys Reinforced Chestplate
item.palamod.vitalys_legendary_helmet,Casque d'Vitalys Legendary,Vitalys Legendary Helmet
item.palamod.vitalys_legendary_boots,Vitalys Legendary Boots,Vitalys Legendary Boots
item.palamod.vitalys_legendary_chestplate,Plastron d'Vitalys Legendary,Vitalys Legendary Chestplate
item.palamod.vitalys_legendary_leggings,Jambières de Vitalys Legendary,Vitalys Legendary Leggings
item.palamod.invoker_sword,Invoker Sword,Invoker Sword
item.palamod.manelios_sword,Manelios Sword,Manelios Sword
item.palamod.manelios_reinforced_sword,Manelios Reinforced Sword,Manelios Reinforced Sword
item.palamod.manelios_legendary_sword,Manelios Legendary Sword,Manelios Legendary Sword
item.palamod.nimbria_sword,Nimbria Sword,Nimbria Sword
item.palamod.nimbria_reinforced_sword,Nimbria Reinforced Sword,Nimbria Reinforced Sword
item.palamod.nimbria_legendary_sword,Nimbria Legendary Sword,Nimbria Legendary Sword
item.palamod.talikus_sword,Talikus Sword,Talikus Sword
item.palamod.talikus_reinforced_sword,Talikus Reinforced Sword,Talikus Reinforced Sword
item.palamod.talikus_legendary_sword,Talikus Legendary Sword,Talikus Legendary Sword
item.palamod.vitalys_sword,Vitalys Sword,Vitalys Sword
item.palamod.vitalys_reinforced_sword,Vitalys Reinforced Sword,Vitalys Reinforced Sword
item.palamod.vitalys_legendary_sword,Vitalys Legendary Sword,Vitalys Legendary Sword
gui.palamod.amethyst_box_gui.label_amethyst_box,Améthyste Box,Amethyst Box
gui.palamod.amethyst_box_gui.label_inventory,Inventory,Inventory
gui.palamod.paladium_box_gui.label_inventory,Inventory,Inventory
gui.palamod.paladium_box_gui.label_amethyst_box,Paladium Box,Paladium Box
item.palamod.diver_leggings,Jambières de Diver,Diver Leggings
item.palamod.diver_helmet,Casque d'Diver,Diver Helmet
item.palamod.diver_chestplate,Plastron d'Diver,Diver Chestplate
item.palamod.diver_boots,Diver Boots,Diver Boots
item.palamod.the_diver_spawn_egg,The Diver Spawn Egg,The Diver Spawn Egg
entity.palamod.the_diver,The Diver,The Diver
entity.palamod.furti_two,Furti Two,Furti Two
item.palamod.furti_two_spawn_egg,Furti Two Spawn Egg,Furti Two Spawn Egg
gui.palamod.warn.label_warning_for_the_palladium_and_a,"WARNING: For the paladium and amethyst boxes to work, please enable cheat options.","WARNING: For the paladium and amethyst boxes to work, please enable cheat options."
item.palamod.wars_star,Wars Star,Wars Star
item.palamod.universal_dollar_stone,Universal Dollar Stone,Universal Dollar Stone
item.palamod.parchment.description_2,Secret code - 50L3A,Secret code - 50L3A
item.palamod.parchment,Parchment,Parchment
item.palamod.parchment.description_1,You have found the secret scroll,You have found the secret scroll
item.palamod.parchment.description_0,Parchment: Ancient,Parchment: Ancient
item.palamod.pala_scroll,Pala Scroll,Pala Scroll
item.palamod.ame_scroll,Ame Scroll,Ame Scroll
item.palamod.tita_scroll,Tita Scroll,Tita Scroll
item.palamod.endi_scroll,Endi Scroll,Endi Scroll
item.palamod.ancient_recipe,Ancient Recipe,Ancient Recipe
item.palamod.ancient_recipe.description_0,Decipher the recipe,Decipher the recipe
subtitles.pala_vs_ng,Pala Vs Ng,Pala Vs Ng
item.palamod.pala_vs_ng,Disque de musique,Music Disc
item.palamod.pala_vs_ng.desc,Paladium Vs NationGlory,Paladium Vs NationGlory
block.minecraft.banner.palamod.parchment_paladium.lime,Lime Parchment Paladium,Lime Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.light_gray,Light Gray Parchment Paladium,Light Gray Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.brown,Brown Parchment Paladium,Brown Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.green,Green Parchment Paladium,Green Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.light_blue,Light Blue Parchment Paladium,Light Blue Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.pink,Pink Parchment Paladium,Pink Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.cyan,Cyan Parchment Paladium,Cyan Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.orange,Orange Parchment Paladium,Orange Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.red,Red Parchment Paladium,Red Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.gray,Gray Parchment Paladium,Gray Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.magenta,Magenta Parchment Paladium,Magenta Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.yellow,Yellow Parchment Paladium,Yellow Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.purple,Purple Parchment Paladium,Purple Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.white,White Parchment Paladium,White Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.blue,Blue Parchment Paladium,Blue Parchment Paladium
block.minecraft.banner.palamod.parchment_paladium.black,Black Parchment Paladium,Black Parchment Paladium
item.palamod.parchment.patterns,Parchment Paladium,Parchment Paladium
block.minecraft.banner.palamod.banner_paladium.lime,Lime Paladium,Lime Paladium
block.minecraft.banner.palamod.banner_paladium.brown,Brown Paladium,Brown Paladium
block.minecraft.banner.palamod.banner_paladium.magenta,Magenta Paladium,Magenta Paladium
block.minecraft.banner.palamod.banner_paladium.black,Black Paladium,Black Paladium
block.minecraft.banner.palamod.banner_paladium.light_blue,Light Blue Paladium,Light Blue Paladium
block.minecraft.banner.palamod.banner_paladium.yellow,Yellow Paladium,Yellow Paladium
block.minecraft.banner.palamod.banner_paladium.purple,Purple Paladium,Purple Paladium
block.minecraft.banner.palamod.banner_paladium.white,White Paladium,White Paladium
block.minecraft.banner.palamod.banner_paladium.cyan,Cyan Paladium,Cyan Paladium
block.minecraft.banner.palamod.banner_paladium.gray,Gray Paladium,Gray Paladium
block.minecraft.banner.palamod.banner_paladium.light_gray,Light Gray Paladium,Light Gray Paladium
block.minecraft.banner.palamod.banner_paladium.red,Red Paladium,Red Paladium
block.minecraft.banner.palamod.banner_paladium.orange,Orange Paladium,Orange Paladium
block.minecraft.banner.palamod.banner_paladium.green,Green Paladium,Green Paladium
block.minecraft.banner.palamod.banner_paladium.blue,Blue Paladium,Blue Paladium
block.minecraft.banner.palamod.banner_paladium.pink,Pink Paladium,Pink Paladium
item.palamod.mixed_endium.patterns,Paladium,Paladium
item.palamod.corrupted_portal_frame.description_0,Creative Only,Creative Only
item.palamod.corrupted_portal_frame,Corrupted Portal Frame,Corrupted Portal Frame
item.palamod.paladium_sword_17.description_1,Note: There is a rare way to obtain it in survival mode.,Note: There is a rare way to obtain it in survival mode.
gui.palamod.main_menu_mod.label_winter_event_end_010126,Winter Event : End 01/01/26,Winter Event : End 01/01/26
gui.palamod.menu_mod.label_winter_event_end_010126,Winter Event : End 01/01/26,Winter Event : End 01/01/26
gui.palamod.paladium_chest_gui.label_inventory,Inventory,Inventory
gui.palamod.g_paladium_chest_gui.label_paladium_chest,Coffre de Paladium,Paladium Chest
gui.palamod.g_paladium_chest_gui.label_inventory,Inventory,Inventory
gui.palamod.titane_chest_gui.label_inventory,Inventory,Inventory
gui.palamod.amethyst_chest_gui.label_inventory,Inventory,Inventory
gui.palamod.endium_chest_gui.label_inventory,Inventory,Inventory
block.minecraft.banner.palamod.ingot_banner.white,White Ingot Banner,White Ingot Banner
block.minecraft.banner.palamod.ingot_banner.pink,Pink Ingot Banner,Pink Ingot Banner
block.minecraft.banner.palamod.ingot_banner.lime,Lime Ingot Banner,Lime Ingot Banner
block.minecraft.banner.palamod.ingot_banner.black,Black Ingot Banner,Black Ingot Banner
block.minecraft.banner.palamod.ingot_banner.light_gray,Light Gray Ingot Banner,Light Gray Ingot Banner
block.minecraft.banner.palamod.ingot_banner.purple,Purple Ingot Banner,Purple Ingot Banner
block.minecraft.banner.palamod.ingot_banner.red,Red Ingot Banner,Red Ingot Banner
block.minecraft.banner.palamod.ingot_banner.brown,Brown Ingot Banner,Brown Ingot Banner
block.minecraft.banner.palamod.ingot_banner.light_blue,Light Blue Ingot Banner,Light Blue Ingot Banner
block.minecraft.banner.palamod.ingot_banner.blue,Blue Ingot Banner,Blue Ingot Banner
block.minecraft.banner.palamod.ingot_banner.yellow,Yellow Ingot Banner,Yellow Ingot Banner
block.minecraft.banner.palamod.ingot_banner.gray,Gray Ingot Banner,Gray Ingot Banner
block.minecraft.banner.palamod.ingot_banner.cyan,Cyan Ingot Banner,Cyan Ingot Banner
block.minecraft.banner.palamod.ingot_banner.green,Green Ingot Banner,Green Ingot Banner
block.minecraft.banner.palamod.ingot_banner.orange,Orange Ingot Banner,Orange Ingot Banner
block.minecraft.banner.palamod.ingot_banner.magenta,Magenta Ingot Banner,Magenta Ingot Banner
block.minecraft.banner.palamod.block_banner.brown,Brown Block Banner,Brown Block Banner
block.minecraft.banner.palamod.block_banner.orange,Orange Block Banner,Orange Block Banner
block.minecraft.banner.palamod.block_banner.lime,Lime Block Banner,Lime Block Banner
block.minecraft.banner.palamod.block_banner.pink,Pink Block Banner,Pink Block Banner
block.minecraft.banner.palamod.block_banner.purple,Purple Block Banner,Purple Block Banner
block.minecraft.banner.palamod.block_banner.magenta,Magenta Block Banner,Magenta Block Banner
block.minecraft.banner.palamod.block_banner.blue,Blue Block Banner,Blue Block Banner
block.minecraft.banner.palamod.block_banner.black,Black Block Banner,Black Block Banner
block.minecraft.banner.palamod.block_banner.white,White Block Banner,White Block Banner
block.minecraft.banner.palamod.block_banner.light_gray,Light Gray Block Banner,Light Gray Block Banner
block.minecraft.banner.palamod.block_banner.gray,Gray Block Banner,Gray Block Banner
block.minecraft.banner.palamod.block_banner.yellow,Yellow Block Banner,Yellow Block Banner
block.minecraft.banner.palamod.block_banner.cyan,Cyan Block Banner,Cyan Block Banner
block.minecraft.banner.palamod.block_banner.green,Green Block Banner,Green Block Banner
block.minecraft.banner.palamod.block_banner.light_blue,Light Blue Block Banner,Light Blue Block Banner
block.minecraft.banner.palamod.block_banner.red,Red Block Banner,Red Block Banner
block.minecraft.banner.palamod.palapple_banner.orange,Orange Palapple Banner,Orange Palapple Banner
block.minecraft.banner.palamod.palapple_banner.light_blue,Light Blue Palapple Banner,Light Blue Palapple Banner
block.minecraft.banner.palamod.palapple_banner.pink,Pink Palapple Banner,Pink Palapple Banner
block.minecraft.banner.palamod.palapple_banner.magenta,Magenta Palapple Banner,Magenta Palapple Banner
block.minecraft.banner.palamod.palapple_banner.red,Red Palapple Banner,Red Palapple Banner
block.minecraft.banner.palamod.palapple_banner.yellow,Yellow Palapple Banner,Yellow Palapple Banner
block.minecraft.banner.palamod.palapple_banner.blue,Blue Palapple Banner,Blue Palapple Banner
block.minecraft.banner.palamod.palapple_banner.white,White Palapple Banner,White Palapple Banner
block.minecraft.banner.palamod.palapple_banner.lime,Lime Palapple Banner,Lime Palapple Banner
block.minecraft.banner.palamod.palapple_banner.green,Green Palapple Banner,Green Palapple Banner
block.minecraft.banner.palamod.palapple_banner.gray,Gray Palapple Banner,Gray Palapple Banner
block.minecraft.banner.palamod.palapple_banner.cyan,Cyan Palapple Banner,Cyan Palapple Banner
block.minecraft.banner.palamod.palapple_banner.light_gray,Light Gray Palapple Banner,Light Gray Palapple Banner
block.minecraft.banner.palamod.palapple_banner.purple,Purple Palapple Banner,Purple Palapple Banner
block.minecraft.banner.palamod.palapple_banner.brown,Brown Palapple Banner,Brown Palapple Banner
block.minecraft.banner.palamod.palapple_banner.black,Black Palapple Banner,Black Palapple Banner
item.palamod.palapple.patterns,Palapple Banner,Palapple Banner
item.palamod.pala_scroll.patterns,Paladium,Paladium
block.palamod.banner.parchment_paladium.purple,Purple Parchment Paladium,Purple Parchment Paladium
block.palamod.banner.parchment_paladium.brown,Brown Parchment Paladium,Brown Parchment Paladium
block.palamod.banner.parchment_paladium.blue,Blue Parchment Paladium,Blue Parchment Paladium
block.palamod.banner.parchment_paladium.black,Black Parchment Paladium,Black Parchment Paladium
block.palamod.banner.parchment_paladium.light_gray,Light Gray Parchment Paladium,Light Gray Parchment Paladium
block.palamod.banner.parchment_paladium.pink,Pink Parchment Paladium,Pink Parchment Paladium
block.palamod.banner.parchment_paladium.lime,Lime Parchment Paladium,Lime Parchment Paladium
block.palamod.banner.parchment_paladium.red,Red Parchment Paladium,Red Parchment Paladium
block.palamod.banner.parchment_paladium.light_blue,Light Blue Parchment Paladium,Light Blue Parchment Paladium
block.palamod.banner.parchment_paladium.green,Green Parchment Paladium,Green Parchment Paladium
block.palamod.banner.parchment_paladium.cyan,Cyan Parchment Paladium,Cyan Parchment Paladium
block.palamod.banner.parchment_paladium.yellow,Yellow Parchment Paladium,Yellow Parchment Paladium
block.palamod.banner.parchment_paladium.gray,Gray Parchment Paladium,Gray Parchment Paladium
block.palamod.banner.parchment_paladium.magenta,Magenta Parchment Paladium,Magenta Parchment Paladium
block.palamod.banner.parchment_paladium.orange,Orange Parchment Paladium,Orange Parchment Paladium
block.palamod.banner.parchment_paladium.white,White Parchment Paladium,White Parchment Paladium
block.palamod.banner.banner_paladium.orange,Orange Paladium,Orange Paladium
block.palamod.banner.banner_paladium.lime,Lime Paladium,Lime Paladium
block.palamod.banner.banner_paladium.brown,Brown Paladium,Brown Paladium
block.palamod.banner.banner_paladium.magenta,Magenta Paladium,Magenta Paladium
block.palamod.banner.banner_paladium.red,Red Paladium,Red Paladium
block.palamod.banner.banner_paladium.green,Green Paladium,Green Paladium
block.palamod.banner.banner_paladium.yellow,Yellow Paladium,Yellow Paladium
block.palamod.banner.banner_paladium.white,White Paladium,White Paladium
block.palamod.banner.banner_paladium.light_gray,Light Gray Paladium,Light Gray Paladium
block.palamod.banner.banner_paladium.light_blue,Light Blue Paladium,Light Blue Paladium
block.palamod.banner.banner_paladium.cyan,Cyan Paladium,Cyan Paladium
block.palamod.banner.banner_paladium.gray,Gray Paladium,Gray Paladium
block.palamod.banner.banner_paladium.blue,Blue Paladium,Blue Paladium
block.palamod.banner.banner_paladium.pink,Pink Paladium,Pink Paladium
block.palamod.banner.banner_paladium.purple,Purple Paladium,Purple Paladium
block.palamod.banner.banner_paladium.black,Black Paladium,Black Paladium
block.palamod.banner.ingot_banner.orange,Orange Ingot Banner,Orange Ingot Banner
block.palamod.banner.ingot_banner.magenta,Magenta Ingot Banner,Magenta Ingot Banner
block.palamod.banner.ingot_banner.light_blue,Light Blue Ingot Banner,Light Blue Ingot Banner
block.palamod.banner.ingot_banner.green,Green Ingot Banner,Green Ingot Banner
block.palamod.banner.ingot_banner.blue,Blue Ingot Banner,Blue Ingot Banner
block.palamod.banner.ingot_banner.white,White Ingot Banner,White Ingot Banner
block.palamod.banner.ingot_banner.lime,Lime Ingot Banner,Lime Ingot Banner
block.palamod.banner.ingot_banner.pink,Pink Ingot Banner,Pink Ingot Banner
block.palamod.banner.ingot_banner.black,Black Ingot Banner,Black Ingot Banner
block.palamod.banner.ingot_banner.purple,Purple Ingot Banner,Purple Ingot Banner
block.palamod.banner.ingot_banner.yellow,Yellow Ingot Banner,Yellow Ingot Banner
block.palamod.banner.ingot_banner.cyan,Cyan Ingot Banner,Cyan Ingot Banner
block.palamod.banner.ingot_banner.gray,Gray Ingot Banner,Gray Ingot Banner
block.palamod.banner.ingot_banner.red,Red Ingot Banner,Red Ingot Banner
block.palamod.banner.ingot_banner.light_gray,Light Gray Ingot Banner,Light Gray Ingot Banner
block.palamod.banner.ingot_banner.brown,Brown Ingot Banner,Brown Ingot Banner
block.palamod.banner.block_banner.cyan,Cyan Block Banner,Cyan Block Banner
block.palamod.banner.block_banner.gray,Gray Block Banner,Gray Block Banner
block.palamod.banner.block_banner.light_gray,Light Gray Block Banner,Light Gray Block Banner
block.palamod.banner.block_banner.yellow,Yellow Block Banner,Yellow Block Banner
block.palamod.banner.block_banner.magenta,Magenta Block Banner,Magenta Block Banner
block.palamod.banner.block_banner.light_blue,Light Blue Block Banner,Light Blue Block Banner
block.palamod.banner.block_banner.orange,Orange Block Banner,Orange Block Banner
block.palamod.banner.block_banner.lime,Lime Block Banner,Lime Block Banner
block.palamod.banner.block_banner.red,Red Block Banner,Red Block Banner
block.palamod.banner.block_banner.black,Black Block Banner,Black Block Banner
block.palamod.banner.block_banner.green,Green Block Banner,Green Block Banner
block.palamod.banner.block_banner.purple,Purple Block Banner,Purple Block Banner
block.palamod.banner.block_banner.blue,Blue Block Banner,Blue Block Banner
block.palamod.banner.block_banner.white,White Block Banner,White Block Banner
block.palamod.banner.block_banner.brown,Brown Block Banner,Brown Block Banner
block.palamod.banner.block_banner.pink,Pink Block Banner,Pink Block Banner
block.palamod.banner.palapple_banner.light_blue,Light Blue Palapple Banner,Light Blue Palapple Banner
block.palamod.banner.palapple_banner.white,White Palapple Banner,White Palapple Banner
block.palamod.banner.palapple_banner.blue,Blue Palapple Banner,Blue Palapple Banner
block.palamod.banner.palapple_banner.red,Red Palapple Banner,Red Palapple Banner
block.palamod.banner.palapple_banner.pink,Pink Palapple Banner,Pink Palapple Banner
block.palamod.banner.palapple_banner.lime,Lime Palapple Banner,Lime Palapple Banner
block.palamod.banner.palapple_banner.yellow,Yellow Palapple Banner,Yellow Palapple Banner
block.palamod.banner.palapple_banner.light_gray,Light Gray Palapple Banner,Light Gray Palapple Banner
block.palamod.banner.palapple_banner.cyan,Cyan Palapple Banner,Cyan Palapple Banner
block.palamod.banner.palapple_banner.gray,Gray Palapple Banner,Gray Palapple Banner
block.palamod.banner.palapple_banner.green,Green Palapple Banner,Green Palapple Banner
block.palamod.banner.palapple_banner.orange,Orange Palapple Banner,Orange Palapple Banner
block.palamod.banner.palapple_banner.black,Black Palapple Banner,Black Palapple Banner
block.palamod.banner.palapple_banner.magenta,Magenta Palapple Banner,Magenta Palapple Banner
block.palamod.banner.palapple_banner.brown,Brown Palapple Banner,Brown Palapple Banner
block.palamod.banner.palapple_banner.purple,Purple Palapple Banner,Purple Palapple Banner
item.palamod.developper_pickaxe,Developper Pioche,Developper Pickaxe
gui.palamod.safe_chest_gui.label_inventory,Inventory,Inventory
gui.palamod.safe_chest_first_setup.button_save,Save,Save
gui.palamod.safe_chest_first_setup.safe_code,Create code !,Create code !
gui.palamod.safe_chest_first_setup.label_safe_chest,Coffre de Safe,Safe Chest
gui.palamod.auth_safe_gui.label_enter_code,Enter Code,Enter Code
gui.palamod.auth_safe_gui.button_check,check,check
gui.palamod.ultra_safe_chest_gui.label_inventory,Inventory,Inventory
gui.palamod.mega_safe_chest_gui.label_inventory,Inventory,Inventory
item.palamod.amethyst_upgrade_cobblebreaker,Améthyste Upgrade Cobblebreaker,Amethyst Upgrade Cobblebreaker
